,Date,Country,City,Killed,Injured,Total,Description
129,24/3/2002,Israel,Ramallah,1,0,1,A woman is killed by a Palestinian sniper while riding on a bus.
130,24/3/2002,India,Kashmir,6,2,8,Lashkar-e-Toiba terrorists are thought responsible for three attacks that leave six security force members dead.
131,25/3/2002,India,Malanu,1,0,1,A man is abducted and tortured to death by the Mujahideen.
132,27/3/2002,Israel,Netanya,29,133,162,Hamas (Islamic Resistance) bomber kills twenty-nine Jews celebrating Passover in a hotel. One-hundred and thirty-seven others are injured in the attack.
133,28/3/2002,Israel,Elon Moreh,4,0,4,"A 20-year-old man, his two middle-aged parents and his grandfather were killed during a home invasion by a Muslim gunman."
134,29/3/2002,Israel,Jerusalem,4,28,32,Two security guards are killed and twenty-eight people injured by a suicide bomber. Two soldiers were also killed by Palestinians in Ramallah.
135,29/3/2002,Israel,Neztarim,2,0,2,Two elderly Jews are killed by a Palestinian terrorist.  Two Palestinian groups claim credit.
136,29/3/2002,India,Rajouri,2,0,2,The Mujahideen burn houses and kill two civilians.
137,29/3/2002,India,Kalakote,2,1,3,A Fedayeen attack kills two border guards.
138,30/3/2002,India,Jammu,7,20,27,"A Fedayeen attack on a Hindu temple kills seven people, including a female pilgrim."
139,30/3/2002,Israel,Tel Aviv,1,30,31,"A 36-year-old woman is murdered, and thirty others wounded by a suicide bomber in a cafe."
140,31/3/2002,Israel,Haifa,15,40,55,Fifteen Israelis are killed in a restaurant by a Fedayeen suicide bomber. Over forty others are burned and maimed in the explosion.
141,31/3/2002,Pakistan,Bahawalpur,2,0,2,A mosque caretaker and his son are killed in a sectarian attack.
142,31/3/2002,India,Azmatabad,1,0,1,A man is killed inside his home merely for being the brother of a police officer.
143,1/4/2002,Pakistan,Spin Qaira,2,12,14,"Bomb explodes on a passenger bus, killing at least two people."
144,1/4/2002,India,Bowan-Watsar,1,1,2,Islamic terrorists kill a teacher inside his home in an attack that also injures his young son.
145,2/4/2002,India,Tabaloo-Sung,2,0,2,Two policemen are killed in a village ambush by the Mujahideen.
146,3/4/2002,India,Chanchora,2,1,3,"Terrorists attack the house of a civilian, killing his son.  Elsewhere (Handwara) a man is abducted and murdered."
147,4/4/2002,India,Lopra,1,0,1,A public works employee is murdered outside his residence.
148,4/4/2002,India,Baramulla,4,0,4,"In a brutal attack, Tehreek-e-Jehad-e-Islami members enter the house of a civilian and shoot him to death, along with his wife, daughter and another girl."
149,4/4/2002,Indonesia,Ambon,5,57,62,"An Islamist throws a bomb into a Christian center, killing five and injuring fifty-seven other innocents."
150,6/4/2002,Israel,Rafiah Yam,1,5,6,"Palestinian gunman opens fire at the entrance to a settlement. One is killed, five are wounded."
151,8/4/2002,Afghanistan,Jalalabad,9,92,101,"A terrorist bomb explodes near a government convoy. Nine are killed, ninety-two are injured."
152,8/4/2002,India,Dandli Dansal,8,6,14,"A horrific assault by Hizbul Mujahideen on a village leaves seven persons, including three children and two women dead.  Another child subsequently dies of injuries."
153,9/4/2002,India,Kulgam,2,0,2,Two brothers are abducted and murdered by Lashkar-e-Toiba.
154,9/4/2002,India,Kokernag,2,11,13,"A grenade attack by militant Muslims leaves two civilians dead and eleven others, including three girls, critically injured."
155,9/4/2002,Israel,Jenin,13,7,20,Thirteen IDF reservists are killed and seven injured by the combined efforts of a very young Palestinian suicide bomber and supporting gunfire.
156,10/4/2002,Israel,Yagur,8,22,30,Eight people are killed by a Muslim bomber while riding on a bus. Twenty-two others are injured in the attack.
157,11/4/2002,Tunisia,Erriadh,21,18,39,Islamic suicide bomber kills twenty-one in an attack on town's oldest synagogue. Youngest fatality is an 11-year-old German boy.
158,12/4/2002,Israel,Jerusalem,6,104,110,"Six people, including two Chinese nationals, are killed by a Palestinian suicide bomber at a bus stop in an attack that leaves one-hundred and four others injured."
159,12/4/2002,India,Kashmir,10,17,27,Four separate Fedayeen attacks across the region leave ten innocents dead and at least seventeen others injured.
