Country,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Early-demographic dividend,Female,8.54369,8.75707,9.21774,9.38705,9.62261,9.83343,10.1589,10.42559,10.54713,10.83574,11.15876,11.48941,11.73823,11.96564,12.1185,12.43892,12.38594,12.10571
East Asia & Pacific,Female,10.20295,10.44453,10.66696,10.96969,11.16204,11.31965,11.66667,11.87662,12.10467,12.31075,12.48558,12.67815,12.87958,13.0915,13.27027,13.3943,13.57666,13.76457
Ecuador,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,15.49802971,7.347691,7.556197,15.51443005,7.693972,7.708672,7.138186
"Egypt, Arab Rep.",Female,10.82439995,6.746629,10.85348034,10.89929962,7.073396,7.128346,6.915052,7.1397,11.51791,11.69569016,11.75568008,12.25498009,12.55313969,12.6115303,7.85218,13.09908962,13.31443977,7.138186
El Salvador,Female,11.4064703,11.5883503,11.97994995,12.26263046,12.40283966,12.37580967,13.03085995,12.25072956,12.22651005,12.29677963,12.40769005,12.46450043,12.61347008,12.42257023,12.12895966,11.8721199,11.53866959,11.51648045
Equatorial Guinea,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Eritrea,Female,5.581520081,5.851180077,6.808572,6.705039978,7.073396,7.128346,6.915052,7.1397,7.138160229,7.129370213,7.6110217,7.518429,7.347691,7.82531023,7.32212019,7.693972,7.708672,7.138186
Estonia,Female,16.40065002,16.70009041,16.86642075,17.0153904,17.22360039,17.21570015,17.24865913,17.25592041,17.31452942,17.40553093,17.43020058,17.41290092,17.26214981,17.03764915,16.91341019,16.84926033,16.79528999,16.71953964
Eswatini,Female,6.335726,9.662240028,6.808572,10.18138981,10.44521999,11.02371025,6.915052,7.1397,7.40053,7.451479,11.93770981,7.518429,12.19466972,7.556197,7.85218,7.693972,7.708672,7.138186
Ethiopia,Female,3.894109964,4.227300167,4.374660015,4.78192997,5.656829834,7.128346,6.915052,7.37059021,7.505119801,7.575640202,7.792230129,7.91850996,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Euro area,Female,15.95091,15.95468,16.0622,16.10027,16.34087,16.41815,16.42116,16.48593,16.48363,16.59826,16.76137,16.76375,16.85196,16.89466,16.95032,17.00067,17.11744,17.23244
Europe & Central Asia,Female,13.98435,14.20812,14.39476,14.38562,14.55655,14.66609,14.74858,14.81973,14.89887,15.14779,15.30421,15.31664,15.8613,15.90361,15.99879,16.06226,16.09131,16.24222
European Union,Female,15.82395,15.8836,16.01195,16.01561,16.22721,16.23672,16.24574,16.3381,16.38342,16.52401,16.54127,16.518,17.04177,17.02911,17.03919,17.07147,17.17589,17.19787
Faroe Islands,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Fiji,Female,6.335726,6.746629,13.70314026,14.14896965,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Finland,Female,18.78515053,18.90323067,19.03277969,17.5583992,17.69029999,17.71944046,17.70222092,17.67987061,17.42247009,17.53998947,17.6728096,17.65591049,20.1262207,20.09116936,20.14038086,20.12149048,20.20294952,20.30347061
Fragile and conflict affected situations,Female,6.29453,6.54042,6.81644,7.08792,7.30671,7.49843,7.44056,7.61792,7.8246,8.04476,8.30414,8.53682,8.77497,8.60037,8.61076,8.53895,7.708672,7.138186
France,Female,15.07553005,14.86085987,14.92990017,14.90023994,15.45318985,15.42020035,15.36769962,15.31851959,15.30045986,15.41804028,15.48869991,15.56159019,15.74612045,15.81453037,15.7479496,15.85287952,15.98052979,16.13792992
