Location,Fatalities,Injured,Total victims
"Edmond, Oklahoma",15,6,21
"Edmond, Oklahoma",15,6,20
"Brooklyn, New York",1,4,5
"Atlanta, Georgia",2,1,3
"Goddard, Kansas",1,3,4
"San Ysidro, California",22,19,41
"San Ysidro, California",22,19,40
"Dallas, Texas",6,1,7
"Dallas, Texas",6,1,7
"Los Angeles, California",3,12,14
"Johnston, South Carolina",1,3,4
"Seattle, Washington",13,1,14
"Miami, Florida",8,3,11
"Miami, Florida",9,3,11
"Las Vegas, Nevada",1,2,3
"Columbia, South Carolina",2,5,7
"San Diego, California",2,9,11
"Fullerton, California",7,2,9
"Los Angeles, California",1,7,8
"Olean, New York",3,7,10
"Chicago, Illinois",1,3,4
"New Orleans, Louisiana",10,13,22
"Spokane, Washington",2,4,5
"Mesa, Arizona",5,1,6
"Austin, Texas",17,32,48
