LATITUDE,LONGITUDE,DEATHS
5.458,95.247,0
6.93,79.83,0
5.553,95.309,0
2.86,95.59,0
5.452,95.244,0
5.489,95.263,0
2.267,97.783,0
5.649,95.416,0
5.451,95.243,0
5.55,95.317,0
5.648,95.415,0
5.552,95.317,0
5.46,95.246,0
5.553,95.317,0
5.621,95.398,0
5.541,95.282,0
5.553,95.317,0
5.553,95.317,0
5.547,95.317,0
10.767,79.833,0
9.167,92.783,0
5.382,95.256,0
7.717,81.7,0
5.633,95.4,0
6.932,79.85,0
5.553,95.235,0
9.833,80.233,0
5.397,95.253,0
5.634,95.401,0
5.443,95.241,0
5.492,95.231,0
5.443,95.241,0
4.17372,73.51788,0
5.429,95.243,0
4.17866,73.51416,0
4.123,73.438,0
5.251,95.253,0
4.1802,73.50963,0
4.124,73.458,0
5.442,95.24,0
4.1801,73.52455,0
4.084,73.513,0
5.441,95.239,0
4.1801,73.52455,0
4.083,73.512,0
5.486,95.228,0
4.1801,73.52455,0
3.461,73.55,0
5.381,95.26,0
8.93,76.54,0
3.461,73.55,0
5.427,95.235,0
0.57171,97.74588,0
3.461,73.549,0
5.442,95.241,0
5.385,95.966,0
3.461,73.549,0
5.442,95.241,0
5.433,95.236,0
3.463,73.551,0
5.499,95.223,0
5.569,95.341,0
2.919,73.581,0
5.476,95.237,0
0.9043,97.28008,0
2.92,73.581,0
1.6957,97.44872,0
2.923,73.582,0
2.094,96.61582,0
5.575,95.325,0
7.209,79.836,0
1.40695,97.08376,0
5.443,95.24,0
5.595,95.371,0
1.260308,97.237656,0
5.443,95.242,0
5.557,95.315,0
0.58167,97.73746,0
5.567,95.34,0
2.05595,97.3335,0
5.552,95.309,0
7.376,79.823,0
2.09696,97.09616,0
5.48,95.243,0
7.356,79.827,0
5.594,95.372,0
7.283,79.84,0
5.593,95.371,0
5.562,95.317,0
5.53,95.286,0
5.514,95.27,0
5.533,95.294,0
5.526,95.273,0
5.595,95.372,0
5.571,95.327,0
5.546,95.298,0
5.388,95.962,0
5.571,95.328,0
10.77,79.83,0
5.605,95.388,0
10.77,79.83,6051
5.61,95.389,0
4.69189,95.5372,0
5.593,95.371,0
5.7494,95.0531,0
5.388,95.962,0
5.49463,73.41283,0
5.452,95.244,0
5.4946,73.41245,0
5.49373,73.41225,0
5.42,95.248,0
5.49297,73.4119,0
5.485,95.228,0
5.49288,73.41188,0
5.49272,73.41178,0
5.201,95.284,0
5.647,95.415,0
5.49218,73.41317,0
5.558,95.235,0
5.648,95.415,0
5.49195,73.4136,0
5.649,95.416,0
5.472,95.238,0
5.648,95.415,0
5.65,95.422,0
5.49195,73.4136,0
5.476,95.238,0
5.609,95.398,0
5.647,95.414,0
5.6,95.379,0
4.69205,95.53774,0
5.2,95.284,0
4.6137,95.62491,0
5.286,95.251,0
5.316,95.238,0
5.602,95.383,0
5.497,95.228,0
5.61,95.397,0
2.98483,95.39325,0
5.428,95.24,0
2.98473,95.39311,0
5.286,95.244,0
